"","GeneID","Module"
"553","CDO30_RS06855","turquoise"
"554","CDO30_RS26320","blue"
"555","CDO30_RS01055","turquoise"
"556","CDO30_RS02495","brown"
"557","CDO30_RS24375","grey"
"558","CDO30_RS02555","brown"
"559","CDO30_RS02830","blue"
"560","CDO30_RS02690","red"
"561","CDO30_RS16075","turquoise"
"562","CDO30_RS02450","red"
"563","CDO30_RS18800","brown"
"564","CDO30_RS08755","grey"
"565","CDO30_RS02435","turquoise"
"566","CDO30_RS15515","brown"
"567","CDO30_RS04000","turquoise"
"568","CDO30_RS00520","turquoise"
"569","CDO30_RS07880","turquoise"
"570","CDO30_RS12775","turquoise"
"571","CDO30_RS11680","turquoise"
"572","CDO30_RS15740","turquoise"
"573","CDO30_RS03600","blue"
"574","CDO30_RS05040","black"
"575","CDO30_RS16660","turquoise"
"576","CDO30_RS16100","turquoise"
"577","CDO30_RS08745","blue"
"578","CDO30_RS14340","turquoise"
"579","CDO30_RS03885","turquoise"
"580","CDO30_RS07025","grey"
"581","CDO30_RS13710","blue"
"582","CDO30_RS13205","grey"
"583","CDO30_RS32920","brown"
"584","CDO30_RS05385","turquoise"
"585","CDO30_RS06795","turquoise"
"586","CDO30_RS14150","brown"
"587","CDO30_RS32555","red"
"588","CDO30_RS32895","blue"
"589","CDO30_RS10575","turquoise"
"590","CDO30_RS19020","grey"
"591","CDO30_RS32995","green"
"592","CDO30_RS07935","red"
"593","CDO30_RS18220","yellow"
"594","CDO30_RS10105","red"
"595","CDO30_RS11180","turquoise"
"596","CDO30_RS08490","turquoise"
"597","CDO30_RS00525","turquoise"
"598","CDO30_RS14805","turquoise"
"599","CDO30_RS15380","black"
"600","CDO30_RS03300","turquoise"
"601","CDO30_RS02490","turquoise"
"602","CDO30_RS18145","yellow"
"603","CDO30_RS01835","turquoise"
"604","CDO30_RS11785","blue"
"605","CDO30_RS24725","grey"
"606","CDO30_RS01340","red"
"607","CDO30_RS29210","brown"
"608","CDO30_RS30765","grey"
"609","CDO30_RS02205","turquoise"
"610","CDO30_RS10915","grey"
"611","CDO30_RS13435","brown"
"612","CDO30_RS18060","blue"
"613","CDO30_RS16575","blue"
"614","CDO30_RS26605","brown"
"615","CDO30_RS08210","turquoise"
"616","CDO30_RS13405","turquoise"
"617","CDO30_RS17100","turquoise"
"618","CDO30_RS11055","blue"
"619","CDO30_RS31885","blue"
"620","CDO30_RS29220","red"
"621","CDO30_RS06410","turquoise"
"622","CDO30_RS13830","grey"
"623","CDO30_RS01955","blue"
"624","CDO30_RS14560","turquoise"
"625","CDO30_RS17305","blue"
"626","CDO30_RS05945","turquoise"
"627","CDO30_RS01125","turquoise"
"628","CDO30_RS04430","blue"
"629","CDO30_RS17295","turquoise"
"630","CDO30_RS01440","turquoise"
"631","CDO30_RS09570","brown"
"632","CDO30_RS32760","red"
"633","CDO30_RS26955","blue"
"634","CDO30_RS00820","turquoise"
