"","GeneID","Module"
"634","CDO30_RS00820","yellow"
"635","CDO30_RS11095","black"
"636","CDO30_RS21910","pink"
"637","CDO30_RS12595","pink"
"638","CDO30_RS02110","yellow"
"639","CDO30_RS13175","pink"
"640","CDO30_RS14810","grey"
"641","CDO30_RS14555","yellow"
"642","CDO30_RS05780","yellow"
"643","CDO30_RS15935","salmon"
"644","CDO30_RS02120","yellow"
"645","CDO30_RS11285","yellow"
"646","CDO30_RS14505","pink"
"647","CDO30_RS11140","black"
"648","CDO30_RS28015","salmon"
"649","CDO30_RS22415","blue"
"650","CDO30_RS04900","blue"
"651","CDO30_RS07795","yellow"
"652","CDO30_RS09660","turquoise"
"653","CDO30_RS32955","yellow"
"654","CDO30_RS00595","yellow"
"655","CDO30_RS22410","blue"
"656","CDO30_RS09920","pink"
"657","CDO30_RS08820","yellow"
"658","CDO30_RS16475","black"
"659","CDO30_RS25715","pink"
"660","CDO30_RS06385","blue"
"661","CDO30_RS17325","blue"
"662","CDO30_RS26875","black"
"663","CDO30_RS23765","pink"
"664","CDO30_RS10180","blue"
"665","CDO30_RS21545","magenta"
"666","CDO30_RS05035","blue"
"667","CDO30_RS15860","yellow"
"668","CDO30_RS03415","red"
"669","CDO30_RS33340","pink"
"670","CDO30_RS02525","yellow"
"671","CDO30_RS15020","blue"
"672","CDO30_RS06740","pink"
"673","CDO30_RS18080","yellow"
"674","CDO30_RS12565","black"
"675","CDO30_RS11385","black"
"676","CDO30_RS24025","pink"
"677","CDO30_RS04155","turquoise"
"678","CDO30_RS20705","yellow"
"679","CDO30_RS15555","yellow"
"680","CDO30_RS15520","grey"
"681","CDO30_RS09670","yellow"
"682","CDO30_RS06370","yellow"
"683","CDO30_RS06375","yellow"
"684","CDO30_RS13310","black"
"685","CDO30_RS08975","turquoise"
"686","CDO30_RS10065","pink"
"687","CDO30_RS14145","black"
"688","CDO30_RS04340","grey"
"689","CDO30_RS12205","grey"
"690","CDO30_RS17555","yellow"
"691","CDO30_RS09620","yellow"
"692","CDO30_RS17640","yellow"
"693","CDO30_RS32935","green"
"694","CDO30_RS14375","turquoise"
"695","CDO30_RS19585","grey"
"696","CDO30_RS08185","yellow"
"697","CDO30_RS32355","pink"
"698","CDO30_RS28455","yellow"
"699","CDO30_RS10405","yellow"
"700","CDO30_RS01370","grey"
"701","CDO30_RS31065","pink"
"702","CDO30_RS29950","yellow"
"703","CDO30_RS07755","lightcyan"
"704","CDO30_RS02805","blue"
"705","CDO30_RS13010","pink"
"706","CDO30_RS01290","turquoise"
"707","CDO30_RS02005","yellow"
"708","CDO30_RS16485","yellow"
"709","CDO30_RS09970","black"
"710","CDO30_RS32335","pink"
"711","CDO30_RS13490","pink"
"712","CDO30_RS15425","blue"
"713","CDO30_RS03730","black"
"714","CDO30_RS02930","grey"
